21.7778,4.06936e-006,2.65731e-007,4.07803e-006
22,4.07428e-006,2.73052e-007,4.08342e-006
22.2222,4.07937e-006,2.80478e-007,4.089e-006
22.4444,4.08461e-006,2.8801e-007,4.09475e-006
22.6667,4.09002e-006,2.95647e-007,4.1007e-006
22.8889,4.09561e-006,3.03387e-007,4.10683e-006
23.1111,4.10136e-006,3.11232e-007,4.11315e-006
23.3333,4.10729e-006,3.19178e-007,4.11967e-006
23.5556,4.11339e-006,3.27227e-007,4.12638e-006
23.7778,4.11967e-006,3.35377e-007,4.1333e-006
24,4.12614e-006,3.43628e-007,4.14042e-006
24.2222,4.13279e-006,3.51977e-007,4.14775e-006
24.4444,4.13963e-006,3.60426e-007,4.15529e-006
24.6667,4.14666e-006,3.68972e-007,4.16304e-006
24.8889,4.15388e-006,3.77615e-007,4.171e-006
25.1111,4.16129e-006,3.86354e-007,4.17919e-006
25.3333,4.1689e-006,3.95187e-007,4.18759e-006
25.5556,4.17672e-006,4.04114e-007,4.19622e-006
25.7778,4.18473e-006,4.13133e-007,4.20508e-006
26,4.19295e-006,4.22244e-007,4.21416e-006
26.2222,4.20138e-006,4.31444e-007,4.22348e-006
26.4444,4.21002e-006,4.40734e-007,4.23303e-006
26.6667,4.21888e-006,4.50111e-007,4.24282e-006
26.8889,4.22795e-006,4.59574e-007,4.25285e-006
27.1111,4.23723e-006,4.69121e-007,4.26312e-006
27.3333,4.24674e-006,4.78752e-007,4.27364e-006
27.5556,4.25647e-006,4.88465e-007,4.2844e-006
27.7778,4.26642e-006,4.98259e-007,4.29542e-006
28,4.27661e-006,5.08131e-007,4.30669e-006
28.2222,4.28702e-006,5.18081e-007,4.31821e-006
28.4444,4.29767e-006,5.28107e-007,4.33e-006
28.6667,4.30855e-006,5.38207e-007,4.34204e-006
28.8889,4.31967e-006,5.48379e-007,4.35434e-006
29.1111,4.33103e-006,5.58622e-007,4.36691e-006
29.3333,4.34263e-006,5.68934e-007,4.37974e-006
29.5556,4.35448e-006,5.79314e-007,4.39285e-006
29.7778,4.36658e-006,5.89759e-007,4.40622e-006
30,4.37892e-006,6.00267e-007,4.41987e-006
30.2222,4.39152e-006,6.10838e-007,4.4338e-006
30.4444,4.40437e-006,6.21468e-007,4.448e-006
30.6667,4.41748e-006,6.32156e-007,4.46248e-006
30.8889,4.43084e-006,6.429e-007,4.47724e-006
31.1111,4.44447e-006,6.53698e-007,4.49229e-006
31.3333,4.45836e-006,6.64547e-007,4.50762e-006
31.5556,4.47252e-006,6.75447e-007,4.52323e-006
31.7778,4.48694e-006,6.86394e-007,4.53914e-006
32,4.50163e-006,6.97386e-007,4.55533e-006
32.2222,4.5166e-006,7.08422e-007,4.57182e-006
32.4444,4.53184e-006,7.19499e-007,4.5886e-006
32.6667,4.54736e-006,7.30615e-007,4.60568e-006
32.8889,4.56315e-006,7.41767e-007,4.62305e-006
33.1111,4.57923e-006,7.52953e-007,4.64072e-006
33.3333,4.59558e-006,7.64172e-007,4.65868e-006
33.5556,4.61222e-006,7.7542e-007,4.67695e-006
33.7778,4.62915e-006,7.86695e-007,4.69552e-006
34,4.64637e-006,7.97995e-007,4.7144e-006
34.2222,4.66387e-006,8.09317e-007,4.73357e-006
34.4444,4.68167e-006,8.20659e-007,4.75306e-006
34.6667,4.69977e-006,8.32018e-007,4.77284e-006
34.8889,4.71815e-006,8.43391e-007,4.79294e-006
35.1111,4.73684e-006,8.54777e-007,4.81335e-006
35.3333,4.75583e-006,8.66173e-007,4.83406e-006
35.5556,4.77511e-006,8.77575e-007,4.85508e-006
35.7778,4.7947e-006,8.88982e-007,4.87642e-006
36,4.8146e-006,9.00391e-007,4.89807e-006
36.2222,4.8348e-006,9.11798e-007,4.92003e-006
36.4444,4.85531e-006,9.23202e-007,4.9423e-006
36.6667,4.87613e-006,9.34599e-007,4.96489e-006
36.8889,4.89726e-006,9.45986e-007,4.98779e-006
37.1111,4.9187e-006,9.57362e-007,5.011e-006
37.3333,4.94046e-006,9.68722e-007,5.03454e-006
37.5556,4.96253e-006,9.80065e-007,5.05838e-006
37.7778,4.98492e-006,9.91388e-007,5.08255e-006
38,5.00763e-006,1.00269e-006,5.10703e-006
38.2222,5.03066e-006,1.01396e-006,5.13183e-006
38.4444,5.05402e-006,1.0252e-006,5.15695e-006
38.6667,5.07769e-006,1.03641e-006,5.18238e-006
38.8889,5.10169e-006,1.04759e-006,5.20814e-006
39.1111,5.12601e-006,1.05873e-006,5.23421e-006
39.3333,5.15067e-006,1.06982e-006,5.2606e-006
39.5556,5.17564e-006,1.08087e-006,5.2873e-006
39.7778,5.20095e-006,1.09188e-006,5.31433e-006
40,5.22659e-006,1.10283e-006,5.34168e-006
40.2222,5.25256e-006,1.11373e-006,5.36934e-006
40.4444,5.27887e-006,1.12458e-006,5.39732e-006
40.6667,5.3055e-006,1.13536e-006,5.42563e-006
40.8889,5.33248e-006,1.14609e-006,5.45425e-006
41.1111,5.35978e-006,1.15674e-006,5.48319e-006
41.3333,5.38743e-006,1.16733e-006,5.51244e-006
41.5556,5.41541e-006,1.17785e-006,5.54202e-006
41.7778,5.44373e-006,1.18829e-006,5.57191e-006
42,5.47239e-006,1.19865e-006,5.60212e-006
42.2222,5.50139e-006,1.20893e-006,5.63265e-006
42.4444,5.53073e-006,1.21913e-006,5.6635e-006
42.6667,5.56041e-006,1.22924e-006,5.69466e-006
42.8889,5.59043e-006,1.23925e-006,5.72614e-006
43.1111,5.6208e-006,1.24918e-006,5.75794e-006
43.3333,5.65151e-006,1.259e-006,5.79005e-006
43.5556,5.68256e-006,1.26873e-006,5.82247e-006
43.7778,5.71396e-006,1.27835e-006,5.85522e-006
44,5.74571e-006,1.28786e-006,5.88827e-006
44.2222,5.7778e-006,1.29726e-006,5.92164e-006
44.4444,5.81024e-006,1.30655e-006,5.95533e-006
44.6667,5.84302e-006,1.31572e-006,5.98932e-006
44.8889,5.87615e-006,1.32477e-006,6.02363e-006
45.1111,5.90963e-006,1.3337e-006,6.05826e-006
45.3333,5.94345e-006,1.3425e-006,6.09319e-006
45.5556,5.97763e-006,1.35117e-006,6.12843e-006
45.7778,6.01215e-006,1.3597e-006,6.16399e-006
46,6.04702e-006,1.3681e-006,6.19985e-006
46.2222,6.08224e-006,1.37636e-006,6.23603e-006
46.4444,6.11781e-006,1.38448e-006,6.27251e-006
46.6667,6.15373e-006,1.39244e-006,6.3093e-006
46.8889,6.18999e-006,1.40026e-006,6.3464e-006
47.1111,6.22661e-006,1.40793e-006,6.3838e-006
47.3333,6.26357e-006,1.41544e-006,6.42151e-006
47.5556,6.30088e-006,1.42279e-006,6.45953e-006
47.7778,6.33855e-006,1.42997e-006,6.49785e-006
48,6.37656e-006,1.43699e-006,6.53647e-006
48.2222,6.41492e-006,1.44384e-006,6.5754e-006
48.4444,6.45363e-006,1.45052e-006,6.61463e-006
48.6667,6.49268e-006,1.45702e-006,6.65416e-006
48.8889,6.53209e-006,1.46334e-006,6.69399e-006
49.1111,6.57184e-006,1.46947e-006,6.73413e-006
49.3333,6.61194e-006,1.47543e-006,6.77456e-006
49.5556,6.65239e-006,1.48119e-006,6.81529e-006
49.7778,6.69318e-006,1.48676e-006,6.85632e-006
50,6.73432e-006,1.49213e-006,6.89765e-006
50.2222,6.77581e-006,1.49731e-006,6.93928e-006
50.4444,6.81764e-006,1.50228e-006,6.9812e-006
50.6667,6.85982e-006,1.50704e-006,7.02341e-006
50.8889,6.90234e-006,1.5116e-006,7.06592e-006
51.1111,6.94521e-006,1.51595e-006,7.10873e-006
