0,7.94755e-007,0,7.94755e-007
0.777778,7.94468e-007,6.21985e-017,7.94468e-007
1.55556,7.9418e-007,1.61684e-015,7.9418e-007
2.33333,7.93893e-007,1.2124e-014,7.93893e-007
3.11111,7.93606e-007,5.0973e-014,7.93606e-007
3.88889,7.93319e-007,1.55436e-013,7.93319e-007
4.66667,7.93032e-007,3.86613e-013,7.93032e-007
5.44444,7.92745e-007,8.35374e-013,7.92745e-007
6.22222,7.92458e-007,1.62828e-012,7.92458e-007
7,7.92172e-007,2.93353e-012,7.92172e-007
7.77778,7.91885e-007,4.96683e-012,7.91885e-007
8.55556,7.91599e-007,7.99736e-012,7.91599e-007
9.33333,7.91312e-007,1.23536e-011,7.91312e-007
10.1111,7.91026e-007,1.84293e-011,7.91026e-007
10.8889,7.9074e-007,2.66894e-011,7.9074e-007
11.6667,7.90454e-007,3.76756e-011,7.90454e-007
12.4444,7.90168e-007,5.20126e-011,7.90168e-007
13.2222,7.89882e-007,7.0414e-011,7.89882e-007
14,7.89596e-007,9.36876e-011,7.89596e-007
14.7778,7.8931e-007,1.22742e-010,7.8931e-007
15.5556,7.89024e-007,1.58591e-010,7.89024e-007
16.3333,7.88738e-007,2.02363e-010,7.88738e-007
17.1111,7.88452e-007,2.55301e-010,7.88452e-007
17.8889,7.88166e-007,3.18774e-010,7.88166e-007
18.6667,7.87879e-007,3.94279e-010,7.87879e-007
19.4444,7.87593e-007,4.8345e-010,7.87593e-007
20.2222,7.87306e-007,5.8806e-010,7.87306e-007
21,7.87019e-007,7.10031e-010,7.87019e-007
21.7778,7.86732e-007,8.51436e-010,7.86732e-007
22.5556,7.86444e-007,1.01451e-009,7.86445e-007
23.3333,7.86156e-007,1.20164e-009,7.86156e-007
24.1111,7.85867e-007,1.4154e-009,7.85868e-007
24.8889,7.85577e-007,1.65853e-009,7.85579e-007
25.6667,7.85287e-007,1.93395e-009,7.85289e-007
26.4444,7.84995e-007,2.24477e-009,7.84998e-007
27.2222,7.84703e-007,2.5943e-009,7.84707e-007
28,7.84409e-007,2.98603e-009,7.84415e-007
28.7778,7.84114e-007,3.42367e-009,7.84121e-007
29.5556,7.83817e-007,3.91113e-009,7.83827e-007
30.3333,7.83519e-007,4.45255e-009,7.83532e-007
31.1111,7.83219e-007,5.05227e-009,7.83235e-007
31.8889,7.82916e-007,5.71486e-009,7.82937e-007
32.6667,7.82611e-007,6.44515e-009,7.82638e-007
33.4444,7.82304e-007,7.24818e-009,7.82337e-007
34.2222,7.81993e-007,8.12924e-009,7.82035e-007
35,7.81679e-007,9.09386e-009,7.81732e-007
35.7778,7.81361e-007,1.01478e-008,7.81427e-007
36.5556,7.8104e-007,1.12972e-008,7.81121e-007
37.3333,7.80714e-007,1.25484e-008,7.80815e-007
38.1111,7.80383e-007,1.39079e-008,7.80507e-007
38.8889,7.80047e-007,1.53825e-008,7.80198e-007
39.6667,7.79705e-007,1.69766e-008,7.7989e-007
