кол-во периодов,угол[градусы],Ток[A],Hапряжение[кВ],групповая скорость,добротность (периода),входная мощность[Вт],output amp[W], output power (cathode)[W], output power (collector) [W], delta, efficiency, shifted frequency
21,259.181,0.2,31,-0.0947029,1100,0,44.9685,   7.50007e-005,          11.59,        7.71819,     -0.0325087,    -0.00186936,        39.8229
21,259.181,0.225,31,-0.0947029,1100,0,44.9685,    0.000200525,        82.8499,        55.1726,     -0.0351803,     -0.0118781,           39.4
21,259.181,0.25,31,-0.0947029,1100,0,44.9685,    0.000271951,        152.382,        101.477,     -0.0374694,     -0.0196623,        39.0377
21,259.181,0.275,31,-0.0947029,1100,0,44.9685,    0.000326559,        219.723,        146.321,     -0.0394467,      -0.025774,        38.7247
21,259.181,0.3,31,-0.0947029,1100,0,44.9685,    0.000371725,        284.707,        189.596,     -0.0411705,     -0.0306136,        38.4518
21,259.181,0.325,31,-0.0947029,1100,0,44.9685,    0.000410582,        347.338,        231.305,     -0.0426879,     -0.0344752,        38.2117
21,259.181,0.35,31,-0.0947029,1100,0,44.9685,    0.000444835,        407.711,        271.509,     -0.0440365,      -0.037577,        37.9982
21,259.181,0.375,31,-0.0947029,1100,0,44.9685,    0.000475552,        465.961,          310.3,     -0.0452469,     -0.0400827,        37.8066
